                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.7889,                 5.3295,                 1.3579,                      0,                      0,                      0,                      0,                 3.4615,                 5.2076,                 1.0211,              9.996e-05,              9.996e-05,              9.996e-05
                      2,                 3.5485,                  4.961,                0.98645,                      0,                      0,                      0,                      0,                 3.1413,                 4.9752,                0.90296,             0.00020309,             0.00020309,             0.00020309
                      3,                 3.1191,                 4.5991,                0.90601,                 0.0144,                0.04649,                0.01042,                0.00258,                   3.11,                 4.3332,                0.86616,              0.0003058,              0.0003058,              0.0003058
                      4,                 2.9553,                 4.3873,                0.88055,                0.05944,                0.14582,                 0.0418,                0.01225,                 2.8905,                 3.8578,                0.84885,             0.00035488,             0.00035488,             0.00035488
                      5,                 2.8926,                 4.1292,                 0.8576,                0.03368,                0.18297,                0.03671,                0.01005,                  2.963,                 3.6542,                0.85786,             0.00035488,             0.00035488,             0.00035488
                      6,                 2.7944,                 3.8995,                0.84832,                0.04242,                0.27312,                0.06716,                0.01991,                 2.6003,                 3.3781,                 0.8393,             0.00035417,             0.00035417,             0.00035417
                      7,                 2.7094,                 3.6684,                0.83555,                0.05855,                0.35465,                0.09615,                0.03344,                 2.4318,                  3.129,                0.82953,             0.00035347,             0.00035347,             0.00035347
                      8,                 2.6384,                 3.4235,                0.82805,                0.07406,                0.38469,                0.12883,                0.04737,                 2.4232,                 3.0229,                0.82981,             0.00035276,             0.00035276,             0.00035276
                      9,                 2.5912,                 3.1974,                0.82108,                0.10387,                0.36875,                0.15509,                0.05907,                 2.3555,                 2.5942,                0.82686,             0.00035205,             0.00035205,             0.00035205
                     10,                 2.5126,                 2.9827,                0.81578,                0.29575,                0.22731,                0.18369,                 0.0728,                 2.2271,                 2.4455,                0.82038,             0.00035135,             0.00035135,             0.00035135
                     11,                 2.4533,                 2.8019,                0.80332,                0.42847,                0.17462,                 0.1787,                0.07199,                 2.1766,                 2.3299,                0.81777,             0.00035064,             0.00035064,             0.00035064
