                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.7889,                 5.3295,                 1.3579,                      0,                      0,                      0,                      0,                 3.4722,                  5.199,                 1.0117,              9.996e-05,              9.996e-05,              9.996e-05
                      2,                 3.5485,                  4.961,                0.98645,                      0,                      0,                      0,                      0,                 3.1336,                 4.9521,                0.90063,             0.00020309,             0.00020309,             0.00020309
                      3,                 3.1191,                 4.5991,                0.90601,                0.01394,                0.05522,                0.01104,                0.00265,                 3.1067,                 4.2846,                0.86482,              0.0003058,              0.0003058,              0.0003058
                      4,                 2.9553,                 4.3873,                0.88055,                0.03859,                0.15112,                 0.0329,                0.00966,                 2.8894,                 3.8314,                0.84862,             0.00035488,             0.00035488,             0.00035488
                      5,                 2.8926,                 4.1292,                 0.8576,                0.03587,                0.18371,                0.03892,                 0.0105,                 2.9624,                 3.6405,                0.85782,             0.00035488,             0.00035488,             0.00035488
                      6,                 2.7944,                 3.8995,                0.84832,                0.04295,                0.27086,                0.06793,                0.01989,                 2.6014,                 3.3707,                0.83927,             0.00035417,             0.00035417,             0.00035417
                      7,                 2.7094,                 3.6684,                0.83555,                0.05922,                0.35297,                0.09718,                0.03369,                  2.432,                 3.1242,                0.82953,             0.00035347,             0.00035347,             0.00035347
                      8,                 2.6384,                 3.4235,                0.82805,                 0.0743,                0.38324,                0.12945,                0.04739,                 2.4233,                 3.0208,                0.82981,             0.00035276,             0.00035276,             0.00035276
                      9,                 2.5912,                 3.1974,                0.82108,                0.11744,                0.35341,                 0.1552,                0.05893,                 2.3555,                 2.5933,                0.82686,             0.00035205,             0.00035205,             0.00035205
                     10,                 2.5126,                 2.9827,                0.81578,                0.29536,                0.22743,                0.18367,                0.07273,                 2.2271,                 2.4451,                0.82038,             0.00035135,             0.00035135,             0.00035135
                     11,                 2.4533,                 2.8019,                0.80332,                0.42853,                0.17466,                0.17867,                0.07179,                 2.1766,                 2.3298,                0.81776,             0.00035064,             0.00035064,             0.00035064
                     12,                 2.3956,                 2.6343,                0.80294,                 0.5609,                0.19091,                0.20301,                0.08541,                 2.1766,                 2.2522,                0.81878,             0.00034993,             0.00034993,             0.00034993
