                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7543,                 3.9231,                 1.0289,                0.12187,                0.17989,                0.05235,                0.01373,                 3.0823,                 5.7573,                0.84784,              9.996e-05,              9.996e-05,              9.996e-05
                      2,                 2.7315,                 2.2401,                0.86421,                0.01483,                0.00787,                0.00874,                0.00382,                 2.9496,             1.8098e+05,                 4.4503,             0.00020309,             0.00020309,             0.00020309
                      3,                 2.4784,                  1.688,                0.83791,                0.08723,                0.05441,                0.06053,                0.02223,                 3.1882,                 165.05,                0.97026,              0.0003058,              0.0003058,              0.0003058
                      4,                  2.342,                 1.4386,                0.83022,                0.05784,                0.00632,                0.03169,                0.01788,                 5.1949,                 2042.9,                 1.3952,             0.00035488,             0.00035488,             0.00035488
                      5,                 2.2042,                 1.2284,                0.81629,                0.65174,                0.50158,                 0.5291,                0.19324,                 2.0635,                 1.0928,                0.81996,             0.00035488,             0.00035488,             0.00035488
                      6,                 2.1266,                 1.1149,                 0.8124,                0.78894,                 0.5209,                0.57425,                0.22312,                 2.0267,                0.91531,                 0.8182,             0.00035417,             0.00035417,             0.00035417
                      7,                 2.0944,                 1.0564,                0.80442,                0.85003,                0.55421,                0.60918,                0.24799,                 1.9023,                0.78799,                0.81306,             0.00035347,             0.00035347,             0.00035347
                      8,                  2.107,                  1.036,                0.80211,                0.77011,                0.54435,                 0.5458,                0.23137,                 1.8894,                 1.1521,                0.82103,             0.00035276,             0.00035276,             0.00035276
                      9,                 2.0481,                0.97974,                0.79525,                0.88689,                0.61713,                0.66051,                 0.2802,                 1.8503,                0.70738,                0.80953,             0.00035205,             0.00035205,             0.00035205
                     10,                 1.9752,                0.92132,                0.79459,                0.90185,                0.49624,                0.56909,                0.25299,                 1.8276,                0.90149,                0.82103,             0.00035135,             0.00035135,             0.00035135
                     11,                 1.9589,                0.90111,                0.78651,                0.89473,                0.62039,                0.67374,                0.28985,                 1.7968,                0.69573,                 0.8145,             0.00035064,             0.00035064,             0.00035064
